appointment_id,customer_id,employee,service,category,appointment_date,revenue,month
50,C0076,Lina,Hair Styling,Hair,2025-01-09,199.04,2025-01
51,C0060,Nour,Hair Styling,Hair,2025-01-22,199.69,2025-01
52,C0286,Lina,Hair Styling,Hair,2025-01-14,203.1,2025-01
53,C0078,Maya,Hair Styling,Hair,2025-01-27,204.32,2025-01
54,C0089,Maya,Massage,Wellness,2025-01-10,288.2,2025-01
55,C0288,Lina,Waxing,Beauty,2025-01-14,120.44,2025-01
56,C0153,Aisha,Facial,Skin Care,2025-01-15,290.9,2025-01
57,C0104,Lina,Waxing,Beauty,2025-01-14,118.12,2025-01
58,C0179,Maya,Facial,Skin Care,2025-01-03,280.29,2025-01
59,C0231,Lina,Hair Styling,Hair,2025-01-01,203.02,2025-01
60,C0289,Rania,Lashes,Beauty,2025-01-01,225.77,2025-01
61,C0123,Maya,Hair Color,Hair,2025-01-05,461.97,2025-01
62,C0228,Nour,Hair Color,Hair,2025-01-15,477.72,2025-01
63,C0261,Nour,Hair Styling,Hair,2025-01-08,178.03,2025-01
64,C0095,Lina,Hair Color,Hair,2025-01-02,463.17,2025-01
65,C0283,Nour,Lashes,Beauty,2025-01-11,259.99,2025-01
66,C0038,Rania,Waxing,Beauty,2025-01-08,142.28,2025-01
67,C0218,Nour,Nails,Nails,2025-01-14,151.76,2025-01
68,C0111,Sara,Hair Styling,Hair,2025-01-01,159.35,2025-01
69,C0133,Nour,Facial,Skin Care,2025-01-16,248.02,2025-01
70,C0287,Maya,Lashes,Beauty,2025-01-28,225.85,2025-01
71,C0296,Aisha,Hair Styling,Hair,2025-01-14,157.87,2025-01
72,C0101,Nour,Massage,Wellness,2025-01-14,302.34,2025-01
73,C0001,Rania,Hair Styling,Hair,2025-01-23,164.74,2025-01
74,C0137,Maya,Nails,Nails,2025-01-21,158.54,2025-01
75,C0291,Sara,Waxing,Beauty,2025-01-09,102.19,2025-01
76,C0210,Lina,Facial,Skin Care,2025-01-02,328.15,2025-01
77,C0251,Lina,Lashes,Beauty,2025-01-11,252.07,2025-01
78,C0198,Nour,Hair Color,Hair,2025-01-20,441.91,2025-01
79,C0150,Maya,Massage,Wellness,2025-01-11,293.05,2025-01
80,C0084,Aisha,Hair Styling,Hair,2025-01-07,194.8,2025-01
81,C0063,Nour,Hair Styling,Hair,2025-01-28,179.12,2025-01
82,C0215,Lina,Hair Color,Hair,2025-01-13,401.04,2025-01
83,C0286,Lina,Hair Color,Hair,2025-01-17,489.01,2025-01
84,C0194,Rania,Hair Styling,Hair,2025-01-15,201.86,2025-01
85,C0132,Aisha,Nails,Nails,2025-01-06,148.54,2025-01
86,C0288,Maya,Hair Color,Hair,2025-01-03,368.1,2025-01
87,C0087,Sara,Hair Color,Hair,2025-01-28,451.67,2025-01
88,C0247,Lina,Waxing,Beauty,2025-01-08,138.41,2025-01
89,C0054,Aisha,Hair Color,Hair,2025-01-08,455.77,2025-01
90,C0092,Maya,Lashes,Beauty,2025-01-01,228.12,2025-01
91,C0165,Rania,Waxing,Beauty,2025-01-24,143.53,2025-01
92,C0007,Maya,Hair Color,Hair,2025-01-16,400.09,2025-01
93,C0112,Nour,Hair Styling,Hair,2025-01-19,166.1,2025-01
94,C0002,Aisha,Waxing,Beauty,2025-01-18,129.0,2025-01
95,C0195,Sara,Waxing,Beauty,2025-01-10,116.36,2025-01
96,C0226,Nour,Waxing,Beauty,2025-01-09,116.5,2025-01
97,C0280,Aisha,Hair Color,Hair,2025-01-22,496.42,2025-01
98,C0215,Aisha,Waxing,Beauty,2025-01-14,122.47,2025-01
99,C0040,Maya,Nails,Nails,2025-01-09,154.4,2025-01
100,C0278,Lina,Facial,Skin Care,2025-01-22,263.27,2025-01
101,C0098,Nour,Nails,Nails,2025-01-13,134.44,2025-01
102,C0042,Sara,Hair Styling,Hair,2025-01-21,210.6,2025-01
103,C0153,Rania,Nails,Nails,2025-01-05,131.03,2025-01
104,C0027,Aisha,Waxing,Beauty,2025-01-10,110.67,2025-01
105,C0268,Nour,Hair Color,Hair,2025-01-02,464.63,2025-01
106,C0190,Maya,Lashes,Beauty,2025-01-13,227.84,2025-01
107,C0193,Lina,Nails,Nails,2025-01-22,146.08,2025-01
108,C0267,Lina,Hair Styling,Hair,2025-01-21,201.57,2025-01
109,C0232,Lina,Nails,Nails,2025-01-07,165.25,2025-01
110,C0246,Rania,Massage,Wellness,2025-01-24,296.65,2025-01
111,C0239,Sara,Lashes,Beauty,2025-01-04,231.31,2025-01
112,C0201,Maya,Hair Styling,Hair,2025-01-17,206.02,2025-01
113,C0017,Aisha,Nails,Nails,2025-01-08,145.58,2025-01
114,C0025,Lina,Nails,Nails,2025-01-10,163.64,2025-01
115,C0102,Maya,Waxing,Beauty,2025-01-12,135.58,2025-01
116,C0017,Maya,Hair Styling,Hair,2025-01-27,172.82,2025-01
117,C0080,Lina,Lashes,Beauty,2025-01-12,258.11,2025-01
118,C0198,Aisha,Lashes,Beauty,2025-01-23,283.07,2025-01
119,C0026,Maya,Massage,Wellness,2025-01-27,322.9,2025-01
120,C0086,Maya,Facial,Skin Care,2025-01-26,335.94,2025-01
121,C0137,Lina,Hair Color,Hair,2025-01-07,374.72,2025-01
122,C0082,Rania,Massage,Wellness,2025-01-23,356.96,2025-01
123,C0103,Aisha,Hair Styling,Hair,2025-01-27,181.67,2025-01
124,C0188,Nour,Facial,Skin Care,2025-01-12,273.74,2025-01
125,C0183,Sara,Hair Styling,Hair,2025-01-08,196.87,2025-01
126,C0210,Aisha,Facial,Skin Care,2025-01-04,316.79,2025-01
127,C0227,Maya,Waxing,Beauty,2025-01-02,127.87,2025-01
128,C0141,Maya,Massage,Wellness,2025-01-13,255.02,2025-01
129,C0029,Rania,Massage,Wellness,2025-01-07,338.87,2025-01
130,C0185,Sara,Hair Styling,Hair,2025-01-12,155.37,2025-01
131,C0065,Rania,Massage,Wellness,2025-01-25,335.67,2025-01
132,C0158,Maya,Hair Styling,Hair,2025-01-24,182.44,2025-01
133,C0193,Nour,Hair Color,Hair,2025-01-25,391.34,2025-01
134,C0140,Lina,Massage,Wellness,2025-01-17,299.92,2025-01
135,C0198,Rania,Massage,Wellness,2025-01-11,337.57,2025-01
136,C0153,Sara,Facial,Skin Care,2025-01-02,326.56,2025-01
137,C0243,Nour,Hair Styling,Hair,2025-01-22,178.3,2025-01
138,C0218,Aisha,Hair Styling,Hair,2025-01-25,155.96,2025-01
139,C0005,Nour,Hair Color,Hair,2025-01-06,471.6,2025-01
140,C0099,Sara,Facial,Skin Care,2025-01-09,259.2,2025-01
141,C0178,Maya,Massage,Wellness,2025-01-10,273.26,2025-01
142,C0269,Nour,Lashes,Beauty,2025-01-03,225.97,2025-01
143,C0098,Lina,Facial,Skin Care,2025-01-14,296.11,2025-01
144,C0029,Aisha,Waxing,Beauty,2025-01-28,113.16,2025-01
145,C0009,Aisha,Hair Styling,Hair,2025-01-10,206.69,2025-01
146,C0124,Rania,Facial,Skin Care,2025-01-24,246.52,2025-01
147,C0037,Sara,Hair Color,Hair,2025-01-26,463.34,2025-01
148,C0081,Maya,Hair Styling,Hair,2025-01-13,209.35,2025-01
149,C0186,Lina,Nails,Nails,2025-01-19,152.73,2025-01
150,C0237,Aisha,Hair Color,Hair,2025-01-27,456.67,2025-01
151,C0092,Aisha,Waxing,Beauty,2025-01-08,135.49,2025-01
152,C0045,Aisha,Hair Styling,Hair,2025-01-13,163.11,2025-01
153,C0188,Nour,Massage,Wellness,2025-01-27,266.11,2025-01
154,C0031,Maya,Waxing,Beauty,2025-01-19,138.62,2025-01
155,C0082,Sara,Hair Styling,Hair,2025-01-07,174.11,2025-01
156,C0295,Maya,Facial,Skin Care,2025-01-12,312.15,2025-01
157,C0233,Aisha,Hair Color,Hair,2025-01-17,447.69,2025-01
158,C0163,Rania,Hair Styling,Hair,2025-01-24,176.73,2025-01
159,C0224,Maya,Hair Color,Hair,2025-01-09,359.71,2025-01
160,C0278,Sara,Hair Color,Hair,2025-01-05,450.0,2025-01
161,C0219,Aisha,Hair Styling,Hair,2025-01-04,201.56,2025-01
162,C0193,Rania,Lashes,Beauty,2025-01-22,274.5,2025-01
163,C0270,Nour,Facial,Skin Care,2025-01-18,242.48,2025-01
164,C0007,Nour,Nails,Nails,2025-01-20,161.5,2025-01
165,C0058,Maya,Hair Styling,Hair,2025-01-15,173.39,2025-01
166,C0099,Nour,Hair Styling,Hair,2025-01-04,182.52,2025-01
167,C0288,Maya,Waxing,Beauty,2025-01-11,124.14,2025-01
168,C0027,Lina,Lashes,Beauty,2025-01-11,232.63,2025-01
169,C0021,Nour,Massage,Wellness,2025-01-28,270.86,2025-01
170,C0257,Maya,Facial,Skin Care,2025-01-25,276.96,2025-01
171,C0281,Sara,Waxing,Beauty,2025-01-03,111.66,2025-01
172,C0072,Sara,Facial,Skin Care,2025-01-27,284.21,2025-01
173,C0008,Lina,Hair Color,Hair,2025-01-21,484.69,2025-01
174,C0181,Sara,Waxing,Beauty,2025-01-03,133.96,2025-01
175,C0153,Rania,Massage,Wellness,2025-01-15,274.47,2025-01
176,C0228,Aisha,Hair Styling,Hair,2025-01-12,160.89,2025-01
177,C0117,Maya,Hair Color,Hair,2025-01-22,429.26,2025-01
178,C0209,Nour,Lashes,Beauty,2025-01-13,239.66,2025-01
179,C0095,Rania,Hair Styling,Hair,2025-01-14,177.73,2025-01
180,C0102,Aisha,Hair Color,Hair,2025-01-01,459.16,2025-01
181,C0041,Aisha,Hair Styling,Hair,2025-01-24,183.27,2025-01
182,C0080,Rania,Hair Styling,Hair,2025-01-15,188.97,2025-01
183,C0242,Sara,Facial,Skin Care,2025-01-10,306.84,2025-01
184,C0077,Sara,Hair Styling,Hair,2025-01-09,186.66,2025-01
185,C0090,Rania,Nails,Nails,2025-01-06,144.41,2025-01
186,C0123,Rania,Lashes,Beauty,2025-01-10,284.38,2025-01
187,C0204,Maya,Facial,Skin Care,2025-01-09,298.43,2025-01
188,C0251,Lina,Facial,Skin Care,2025-01-15,314.78,2025-01
189,C0022,Maya,Waxing,Beauty,2025-01-26,125.0,2025-01
190,C0014,Lina,Nails,Nails,2025-01-28,129.64,2025-01
191,C0025,Nour,Lashes,Beauty,2025-01-12,264.41,2025-01
192,C0173,Nour,Facial,Skin Care,2025-01-14,270.24,2025-01
193,C0300,Maya,Lashes,Beauty,2025-01-19,270.14,2025-01
194,C0059,Lina,Lashes,Beauty,2025-02-24,232.49,2025-02
195,C0207,Aisha,Hair Styling,Hair,2025-02-22,178.41,2025-02
196,C0159,Maya,Waxing,Beauty,2025-02-21,109.32,2025-02
197,C0220,Sara,Lashes,Beauty,2025-02-04,249.73,2025-02
198,C0177,Lina,Lashes,Beauty,2025-02-18,256.67,2025-02
199,C0228,Maya,Facial,Skin Care,2025-02-21,280.98,2025-02
200,C0243,Lina,Facial,Skin Care,2025-02-07,315.71,2025-02
201,C0237,Maya,Hair Color,Hair,2025-02-03,409.8,2025-02
202,C0282,Sara,Facial,Skin Care,2025-02-03,309.85,2025-02
203,C0014,Rania,Massage,Wellness,2025-02-12,273.87,2025-02
204,C0041,Rania,Nails,Nails,2025-02-06,149.18,2025-02
205,C0231,Aisha,Hair Styling,Hair,2025-02-14,178.52,2025-02
206,C0028,Maya,Lashes,Beauty,2025-02-17,220.84,2025-02
207,C0164,Nour,Waxing,Beauty,2025-02-01,102.38,2025-02
208,C0195,Rania,Hair Color,Hair,2025-02-10,391.5,2025-02
209,C0257,Nour,Hair Styling,Hair,2025-02-10,185.75,2025-02
210,C0064,Rania,Hair Color,Hair,2025-02-01,447.72,2025-02
211,C0175,Nour,Hair Styling,Hair,2025-02-05,155.31,2025-02
212,C0044,Sara,Facial,Skin Care,2025-02-24,314.62,2025-02
213,C0130,Aisha,Waxing,Beauty,2025-02-27,125.44,2025-02
214,C0119,Lina,Facial,Skin Care,2025-02-01,329.79,2025-02
215,C0161,Aisha,Nails,Nails,2025-02-05,176.53,2025-02
216,C0181,Maya,Facial,Skin Care,2025-02-20,305.44,2025-02
217,C0217,Maya,Massage,Wellness,2025-02-02,255.52,2025-02
218,C0178,Sara,Massage,Wellness,2025-02-24,315.91,2025-02
219,C0234,Sara,Facial,Skin Care,2025-02-13,250.32,2025-02
220,C0264,Nour,Lashes,Beauty,2025-02-01,297.37,2025-02
221,C0175,Maya,Nails,Nails,2025-02-22,173.08,2025-02
222,C0114,Maya,Lashes,Beauty,2025-02-11,298.13,2025-02
223,C0076,Lina,Facial,Skin Care,2025-02-08,323.15,2025-02
224,C0001,Lina,Massage,Wellness,2025-02-01,327.4,2025-02
225,C0069,Aisha,Massage,Wellness,2025-02-16,341.82,2025-02
226,C0192,Rania,Hair Styling,Hair,2025-02-18,194.44,2025-02
227,C0176,Nour,Hair Color,Hair,2025-02-25,484.37,2025-02
228,C0098,Nour,Lashes,Beauty,2025-02-09,262.11,2025-02
229,C0082,Nour,Lashes,Beauty,2025-02-19,293.5,2025-02
230,C0129,Rania,Lashes,Beauty,2025-02-11,250.61,2025-02
231,C0065,Sara,Facial,Skin Care,2025-02-15,238.56,2025-02
232,C0093,Aisha,Facial,Skin Care,2025-02-19,293.22,2025-02
233,C0102,Maya,Facial,Skin Care,2025-02-03,291.48,2025-02
234,C0265,Lina,Facial,Skin Care,2025-02-14,254.51,2025-02
235,C0117,Nour,Facial,Skin Care,2025-02-02,331.24,2025-02
236,C0293,Sara,Hair Color,Hair,2025-02-02,412.89,2025-02
237,C0021,Lina,Nails,Nails,2025-02-23,148.2,2025-02
238,C0281,Sara,Hair Styling,Hair,2025-02-28,193.79,2025-02
239,C0141,Rania,Massage,Wellness,2025-02-21,261.33,2025-02
240,C0052,Rania,Hair Color,Hair,2025-02-04,381.45,2025-02
241,C0136,Maya,Hair Color,Hair,2025-02-03,475.04,2025-02
242,C0077,Sara,Facial,Skin Care,2025-02-17,308.18,2025-02
243,C0108,Maya,Waxing,Beauty,2025-02-07,123.94,2025-02
244,C0241,Maya,Lashes,Beauty,2025-02-24,228.65,2025-02
245,C0263,Rania,Hair Color,Hair,2025-02-20,491.91,2025-02
246,C0047,Lina,Facial,Skin Care,2025-02-10,242.25,2025-02
247,C0214,Sara,Hair Styling,Hair,2025-02-21,193.19,2025-02
248,C0121,Nour,Hair Color,Hair,2025-02-10,388.17,2025-02
249,C0154,Lina,Massage,Wellness,2025-02-17,335.84,2025-02
250,C0100,Sara,Lashes,Beauty,2025-02-19,236.55,2025-02
251,C0164,Maya,Lashes,Beauty,2025-02-19,283.33,2025-02
252,C0049,Lina,Nails,Nails,2025-02-15,158.3,2025-02
253,C0150,Nour,Waxing,Beauty,2025-02-21,121.86,2025-02
254,C0138,Aisha,Facial,Skin Care,2025-02-11,297.5,2025-02
255,C0258,Lina,Nails,Nails,2025-02-25,158.71,2025-02
256,C0125,Aisha,Facial,Skin Care,2025-02-10,304.23,2025-02
257,C0019,Sara,Lashes,Beauty,2025-02-28,299.23,2025-02
258,C0109,Rania,Lashes,Beauty,2025-02-07,263.11,2025-02
259,C0073,Aisha,Hair Color,Hair,2025-02-04,451.86,2025-02
260,C0269,Aisha,Hair Color,Hair,2025-02-04,409.18,2025-02
261,C0027,Nour,Waxing,Beauty,2025-02-12,130.12,2025-02
262,C0300,Nour,Hair Color,Hair,2025-02-03,444.14,2025-02
263,C0215,Sara,Nails,Nails,2025-02-02,137.49,2025-02
264,C0286,Sara,Lashes,Beauty,2025-02-02,261.31,2025-02
265,C0287,Aisha,Hair Styling,Hair,2025-02-04,188.42,2025-02
266,C0055,Sara,Hair Styling,Hair,2025-02-25,178.8,2025-02
267,C0003,Rania,Hair Color,Hair,2025-02-20,454.74,2025-02
268,C0118,Nour,Hair Color,Hair,2025-02-08,415.7,2025-02
269,C0121,Rania,Lashes,Beauty,2025-02-01,279.75,2025-02
270,C0231,Aisha,Nails,Nails,2025-02-18,160.24,2025-02
271,C0226,Nour,Facial,Skin Care,2025-02-20,287.67,2025-02
272,C0237,Maya,Hair Styling,Hair,2025-02-18,172.1,2025-02
273,C0180,Rania,Nails,Nails,2025-02-25,145.68,2025-02
274,C0262,Lina,Nails,Nails,2025-02-23,159.03,2025-02
275,C0101,Sara,Lashes,Beauty,2025-02-28,262.78,2025-02
276,C0166,Maya,Hair Color,Hair,2025-02-10,493.8,2025-02
277,C0158,Rania,Facial,Skin Care,2025-02-10,304.08,2025-02
278,C0014,Aisha,Waxing,Beauty,2025-02-20,135.18,2025-02
279,C0130,Lina,Hair Color,Hair,2025-02-27,360.37,2025-02
280,C0025,Maya,Hair Color,Hair,2025-02-10,500.41,2025-02
281,C0095,Rania,Hair Styling,Hair,2025-02-04,207.31,2025-02
282,C0025,Nour,Hair Styling,Hair,2025-02-14,209.59,2025-02
283,C0025,Sara,Nails,Nails,2025-02-02,131.08,2025-02
284,C0141,Rania,Hair Styling,Hair,2025-02-28,201.93,2025-02
285,C0160,Nour,Waxing,Beauty,2025-02-06,113.67,2025-02
286,C0287,Lina,Hair Styling,Hair,2025-02-23,190.96,2025-02
287,C0130,Rania,Facial,Skin Care,2025-02-25,256.79,2025-02
288,C0083,Aisha,Massage,Wellness,2025-02-24,261.07,2025-02
289,C0263,Sara,Hair Styling,Hair,2025-02-14,160.65,2025-02
290,C0273,Nour,Facial,Skin Care,2025-02-08,300.05,2025-02
291,C0124,Rania,Facial,Skin Care,2025-02-20,268.01,2025-02
292,C0191,Rania,Nails,Nails,2025-02-20,134.36,2025-02
293,C0092,Rania,Facial,Skin Care,2025-02-27,272.72,2025-02
294,C0133,Rania,Waxing,Beauty,2025-02-22,132.81,2025-02
295,C0246,Rania,Hair Color,Hair,2025-02-21,376.67,2025-02
296,C0065,Nour,Hair Color,Hair,2025-02-26,468.76,2025-02
297,C0181,Maya,Hair Styling,Hair,2025-02-21,168.2,2025-02
298,C0188,Lina,Hair Styling,Hair,2025-02-17,155.69,2025-02
299,C0117,Maya,Nails,Nails,2025-02-23,171.83,2025-02
300,C0252,Maya,Hair Styling,Hair,2025-02-16,207.47,2025-02
301,C0042,Nour,Nails,Nails,2025-02-20,147.23,2025-02
302,C0120,Aisha,Massage,Wellness,2025-02-17,268.98,2025-02
303,C0029,Aisha,Massage,Wellness,2025-02-16,339.93,2025-02
304,C0232,Nour,Waxing,Beauty,2025-02-28,103.61,2025-02
305,C0214,Aisha,Waxing,Beauty,2025-02-08,122.81,2025-02
306,C0173,Lina,Facial,Skin Care,2025-02-24,244.53,2025-02
307,C0101,Nour,Hair Styling,Hair,2025-02-23,215.26,2025-02
308,C0109,Lina,Hair Styling,Hair,2025-02-01,200.01,2025-02
309,C0148,Nour,Hair Styling,Hair,2025-02-05,153.76,2025-02
310,C0139,Sara,Nails,Nails,2025-02-04,151.75,2025-02
311,C0051,Lina,Lashes,Beauty,2025-02-28,270.37,2025-02
312,C0008,Maya,Nails,Nails,2025-02-22,156.35,2025-02
313,C0223,Aisha,Hair Styling,Hair,2025-02-28,158.18,2025-02
314,C0049,Sara,Massage,Wellness,2025-02-03,325.07,2025-02
315,C0217,Maya,Facial,Skin Care,2025-02-09,313.91,2025-02
316,C0149,Sara,Nails,Nails,2025-02-10,174.53,2025-02
317,C0269,Nour,Hair Color,Hair,2025-02-22,501.06,2025-02
318,C0226,Lina,Massage,Wellness,2025-02-28,309.68,2025-02
319,C0183,Aisha,Hair Styling,Hair,2025-02-18,159.98,2025-02
320,C0114,Rania,Nails,Nails,2025-02-28,150.18,2025-02
321,C0288,Lina,Hair Color,Hair,2025-02-12,493.46,2025-02
322,C0122,Rania,Waxing,Beauty,2025-02-03,129.12,2025-02
323,C0018,Nour,Waxing,Beauty,2025-02-09,137.55,2025-02
324,C0238,Sara,Lashes,Beauty,2025-02-08,252.8,2025-02
325,C0235,Aisha,Hair Styling,Hair,2025-02-22,173.16,2025-02
326,C0258,Nour,Massage,Wellness,2025-02-18,259.53,2025-02
327,C0095,Lina,Lashes,Beauty,2025-02-18,220.54,2025-02
328,C0171,Nour,Hair Styling,Hair,2025-02-22,174.57,2025-02
329,C0019,Nour,Facial,Skin Care,2025-02-22,287.82,2025-02
330,C0128,Nour,Hair Styling,Hair,2025-02-25,189.36,2025-02
331,C0072,Aisha,Hair Styling,Hair,2025-02-16,182.08,2025-02
332,C0104,Lina,Lashes,Beauty,2025-02-04,289.63,2025-02
333,C0010,Nour,Nails,Nails,2025-02-11,169.5,2025-02
334,C0066,Aisha,Lashes,Beauty,2025-02-27,266.4,2025-02
335,C0086,Maya,Nails,Nails,2025-02-04,155.78,2025-02
336,C0014,Aisha,Lashes,Beauty,2025-02-17,215.59,2025-02
337,C0243,Rania,Massage,Wellness,2025-02-11,293.63,2025-02
338,C0111,Nour,Waxing,Beauty,2025-02-04,143.85,2025-02
339,C0227,Maya,Facial,Skin Care,2025-02-22,314.48,2025-02
340,C0202,Rania,Nails,Nails,2025-02-08,149.16,2025-02
341,C0020,Aisha,Hair Styling,Hair,2025-02-13,164.42,2025-02
342,C0003,Nour,Facial,Skin Care,2025-02-14,285.14,2025-02
343,C0254,Maya,Facial,Skin Care,2025-02-04,293.03,2025-02
344,C0060,Lina,Facial,Skin Care,2025-02-28,297.01,2025-02
345,C0152,Nour,Nails,Nails,2025-02-22,131.55,2025-02
346,C0192,Lina,Lashes,Beauty,2025-02-21,298.42,2025-02
347,C0113,Aisha,Nails,Nails,2025-02-23,135.24,2025-02
348,C0251,Lina,Hair Styling,Hair,2025-02-27,166.9,2025-02
349,C0198,Sara,Lashes,Beauty,2025-02-01,238.7,2025-02
350,C0198,Rania,Nails,Nails,2025-02-15,136.86,2025-02
351,C0061,Maya,Lashes,Beauty,2025-02-26,277.25,2025-02
352,C0254,Rania,Hair Color,Hair,2025-02-17,360.85,2025-02
353,C0051,Nour,Hair Color,Hair,2025-02-13,433.16,2025-02
354,C0069,Nour,Hair Styling,Hair,2025-02-26,206.72,2025-02
355,C0074,Nour,Nails,Nails,2025-02-21,152.75,2025-02
356,C0295,Maya,Lashes,Beauty,2025-02-07,267.73,2025-02
357,C0297,Rania,Massage,Wellness,2025-02-04,336.92,2025-02
358,C0031,Sara,Hair Color,Hair,2025-02-25,376.31,2025-02
359,C0106,Rania,Facial,Skin Care,2025-02-24,331.75,2025-02
360,C0220,Rania,Hair Styling,Hair,2025-02-23,170.37,2025-02
361,C0106,Aisha,Hair Color,Hair,2025-02-22,396.98,2025-02
362,C0228,Lina,Lashes,Beauty,2025-02-13,218.22,2025-02
363,C0021,Sara,Hair Styling,Hair,2025-02-25,210.11,2025-02
364,C0127,Maya,Hair Color,Hair,2025-02-06,470.46,2025-02
365,C0143,Nour,Lashes,Beauty,2025-02-24,260.48,2025-02
366,C0165,Maya,Hair Styling,Hair,2025-02-14,179.38,2025-02
367,C0218,Nour,Massage,Wellness,2025-02-23,270.22,2025-02
368,C0161,Maya,Facial,Skin Care,2025-02-25,283.47,2025-02
369,C0086,Aisha,Lashes,Beauty,2025-02-25,249.07,2025-02
370,C0028,Maya,Nails,Nails,2025-02-02,133.53,2025-02
371,C0017,Maya,Facial,Skin Care,2025-02-17,315.59,2025-02
372,C0005,Maya,Hair Styling,Hair,2025-02-01,181.87,2025-02
373,C0098,Lina,Lashes,Beauty,2025-02-10,231.41,2025-02
374,C0294,Sara,Facial,Skin Care,2025-02-24,291.45,2025-02
375,C0049,Nour,Nails,Nails,2025-02-19,178.85,2025-02
376,C0214,Nour,Hair Styling,Hair,2025-02-14,173.8,2025-02
377,C0168,Maya,Facial,Skin Care,2025-02-14,253.84,2025-02
378,C0248,Rania,Lashes,Beauty,2025-02-02,261.32,2025-02
379,C0227,Rania,Hair Color,Hair,2025-02-10,398.52,2025-02
380,C0178,Lina,Nails,Nails,2025-02-27,151.21,2025-02
381,C0268,Maya,Lashes,Beauty,2025-02-24,296.89,2025-02
382,C0164,Nour,Hair Styling,Hair,2025-02-09,175.47,2025-02
383,C0238,Maya,Facial,Skin Care,2025-02-15,316.2,2025-02
384,C0263,Lina,Hair Styling,Hair,2025-02-12,196.84,2025-02
385,C0040,Rania,Nails,Nails,2025-02-11,174.6,2025-02
386,C0101,Sara,Hair Styling,Hair,2025-02-08,165.73,2025-02
387,C0246,Lina,Waxing,Beauty,2025-02-06,115.15,2025-02
